car_id,brand_name,car_name,image
1,比亚迪,秦PLUS,http://n.sinaimg.cn/sinacn17/156/w401h555/20180611/77fe-hcufqih0912329.jpg
2,比亚迪,秦PLUS EV,http://n.sinaimg.cn/sinacn17/711/w296h415/20180611/79d6-hcufqih0911700.jpg
3,比亚迪,汉EV,http://img.pcauto.com.cn/images/upload/upc/tx/auto5/2409/03/c52/444076151_1725329103554.jpg
4,比亚迪,宋PLUS DM-i,http://img1.bitautoimg.com/bitauto/2012/04/15/982980a0-c70e-4396-a27f-9a12758b3b0a.jpg
5,比亚迪,海豹,https://pic3.zhimg.com/v2-6f76bcce3c4c1fbcf100e0d89d23d582_r.jpg
6,吉利,星瑞,https://image.bitautoimg.com/appimage-3000-w1/mapi/news/2023/04/03/8577c3242a22497a8964b9ad7c79510b.jpeg
7,吉利,博越L,http://n.sinaimg.cn/sinakd10012/494/w1256h838/20210304/a556-kkxpczc3636953.jpg
8,吉利,帝豪L Hi·P,https://n.sinaimg.cn/sinakd20230110ac/267/w640h427/20230110/014a-51d1415d9ead0ec3d8285d4e1a03a9f4.jpg
9,吉利,银河L7,https://pic2.zhimg.com/76c229c98402083872eb7e2236403de9_r.jpg
10,吉利,极氪001,https://picx.zhimg.com/80/v2-db54a7f3affa0a9da02eb1ffb82e3746_1440w.jpg
11,长安,UNI-V,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2205/26/c38/314769263_1653548531432.jpeg
12,长安,UNI-K,http://n.sinaimg.cn/sinacn20115/40/w480h360/20200108/7bc5-imvsvyz8915862.jpg
13,长安,深蓝SL03,http://img.pcauto.com.cn/images/upload/upc/tx/auto5/2407/23/c53/434930550_1721707370915.jpg
14,长安,深蓝S7,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2408/29/c20/442474143_1724935442203.jpg
15,长安,逸动PLUS,http://n.sinaimg.cn/sinacn20110/779/w2048h2731/20190501/aa52-hwfpcxn3302318.jpg
16,长城,哈弗H6,https://n.sinaimg.cn/sinacn20/0/w1920h1280/20181011/7484-hkrzvkw6728239.jpg
17,长城,哈弗枭龙MAX,http://n.sinaimg.cn/sinacn10122/271/w1024h847/20190117/ca31-hrvcwni9023679.jpg
18,长城,坦克300,http://n.sinaimg.cn/front/592/w825h567/20190317/-3AQ-hukwxnu7333241.jpg
19,长城,坦克500,https://pic1.zhimg.com/v2-a230cadba67010deb4027ec708cd145e_720w.jpg?source=172ae18b
20,长城,欧拉好猫,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2305/23/c41/363723791_1684832746208_800x600.jpeg
21,奇瑞,艾瑞泽8,https://pic2.zhimg.com/v2-340488463a5041b682f10cc7ef1c2700_r.jpg?source=1940ef5c
22,奇瑞,瑞虎8 PRO,https://img.pcauto.com.cn/images/upload/upc/tx/auto5/2209/07/c60/332632947_1662560038532_800x600.jpeg
23,奇瑞,瑞虎9,http://n.sinaimg.cn/sinacn/w570h378/20171228/fed1-fypyuve1708485.jpg
24,奇瑞,星途揽月,https://img1.xcarimg.com/news/3/40886/40887/846_635_20251223095603082547419056034.jpg
25,奇瑞,捷途旅行者,https://img4.bitautoimg.com/autoalbum/files/20230707/110/202307076556871642211080720_3000x2000_w1.jpg
26,蔚来,ET5,https://n.sinaimg.cn/front/153/w600h353/20190114/1Smj-hrpcmqw7594534.jpg
27,蔚来,ET7,https://pic3.zhimg.com/v2-0944a1a8b59311ae163d515cac45ed08_r.jpg?source=1940ef5c
28,蔚来,ES6,https://pic1.zhimg.com/v2-e77f3ae53c88ee99d98850912bdd59a0_b.jpg
29,蔚来,ES8,http://n.sinaimg.cn/sinacn12/720/w720h1600/20181027/98e3-hmxrkzx6290684.jpg
30,蔚来,全新蔚来ES6,http://cbu01.alicdn.com/img/ibank/2020/920/784/22529487029_1992925173.jpg
